symbol,isin,name,face_value,coupon_rate,coupon_frequency,maturity_date,close_price,description
737GR2054,IN0020230176,GOVERNMENT OF INDIA 33856 GOI SGRB 23JN54,100,0.0737,2,2054-01-23,102.19,GOVERNMENT OF INDIA 33856 GOI SGRB 23JN54 7.37 FV RS 100
664ML35,IN2420250028,STATE DEVELOPMENT LOAN 36049 MEG 04JU35,100,0.0664,2,2035-06-04,-,STATE DEVELOPMENT LOAN 36049 MEG 04JU35 6.64 FV RS 100
722MH49,IN2220240211,STATE DEVELOPMENT LOAN 34846 MH 28AG49,100,0.0722,2,2049-08-28,-,STATE DEVELOPMENT LOAN 34846 MH 28AG49 7.22 FV RS 100
707GJ33,IN1520250193,STATE DEVELOPMENT LOAN 36739 GUJ 26NV33,100,0.0707,2,2033-11-26,-,STATE DEVELOPMENT LOAN 36739 GUJ 26NV33 7.07 FV RS 100
765TN30,IN3120230310,STATE DEVELOPMENT LOAN 33610 TN 08NV30,100,0.0765,2,2030-11-08,102.53,STATE DEVELOPMENT LOAN 33610 TN 08NV30 7.65 FV RS 100
719PN37,IN2820210143,STATE DEVELOPMENT LOAN 31250 PJB 05JN37,100,0.0719,2,2037-01-05,97.75,STATE DEVELOPMENT LOAN 31250 PJB 05JN37 7.19 FV RS 100
697GR2034,IN0020240100,GOVERNMENT OF INDIA 34732 GOI SGRB 05AG34,100,0.069,2,2034-08-05,98,GOVERNMENT OF INDIA 34732 GOI SGRB 05AG34 6.9 FV RS 100
709TS58,IN4520250163,STATE DEVELOPMENT LOAN 36103 TLG 18JU58,100,0.0709,2,2058-06-18,95,STATE DEVELOPMENT LOAN 36103 TLG 18JU58 7.09 FV RS 100
75TN31,IN3120240020,STATE DEVELOPMENT LOAN 34251 TN 24AP31,100,0.075,2,2031-04-24,-,STATE DEVELOPMENT LOAN 34251 TN 24AP31 7.5 FV RS 100
707MH33,IN2220250368,STATE DEVELOPMENT LOAN 36698 MH 12NV33,100,0.0707,2,2033-11-12,-,STATE DEVELOPMENT LOAN 36698 MH 12NV33 7.07 FV RS 100
710GR2028,IN0020220136,GOVERNMENT OF INDIA 32531 GOI SGRB 27JN28,100,0.071,2,2028-01-27,-,GOVERNMENT OF INDIA 32531 GOI SGRB 27JN28 7.1 FV RS 100
726GS2032,IN0020220060,GOVERNMENT OF INDIA 31909 GOI 22AG32,100,0.0726,2,2032-08-22,105.4,GOVERNMENT OF INDIA 31909 GOI 22AG32 7.26 FV RS 100
75GS2034,IN0020040039,GOVERNMENT OF INDIA 04010 GOI 10AG34,100,0.075,2,2034-08-10,104,GOVERNMENT OF INDIA 04010 GOI 10AG34 7.5 FV RS 100
679GS2034,IN0020240126,GOVERNMENT OF INDIA 35031 GOI 07OT34,100,0.0679,2,2034-10-07,101.7,GOVERNMENT OF INDIA 35031 GOI 07OT34 6.79 FV RS 100
746GS2073,IN0020230127,GOVERNMENT OF INDIA 33590 GOI 06NV73,100,0.0746,2,2073-11-06,101.1,GOVERNMENT OF INDIA 33590 GOI 06NV73 7.46 FV RS 100
718GS2037,IN0020230077,GOVERNMENT OF INDIA 33234 GOI 24JL37,100,0.0718,2,2037-07-24,105.78,GOVERNMENT OF INDIA 33234 GOI 24JL37 7.18 FV RS 100
704GS2029,IN0020240050,GOVERNMENT OF INDIA 34539 GOI 03JU29,100,0.0704,2,2029-06-03,102.8,GOVERNMENT OF INDIA 34539 GOI 03JU29 7.04 FV RS 100
824GS2027,IN0020060078,GOVERNMENT OF INDIA 07004 GOI 15FB27,100,0.0824,2,2027-02-15,104,GOVERNMENT OF INDIA 07004 GOI 15FB27 8.24 FV RS 100
702GS2027,IN0020240043,GOVERNMENT OF INDIA 34509 GOI 27MY27,100,0.0702,2,2027-05-27,101,GOVERNMENT OF INDIA 34509 GOI 27MY27 7.02 FV RS 100
710GS2029,IN0020220011,GOVERNMENT OF INDIA 31568 GOI 18AP29,100,0.071,2,2029-04-18,103.32,GOVERNMENT OF INDIA 31568 GOI 18AP29 7.10 FV RS 100
717GS2030,IN0020230036,GOVERNMENT OF INDIA 32846 GOI 17AP30,100,0.0717,2,2030-04-17,103.85,GOVERNMENT OF INDIA 32846 GOI 17AP30 7.17 FV RS 100
699GS2051,IN0020210194,GOVERNMENT OF INDIA 30951 GOI 15DC51,100,0.0699,2,2051-12-15,99.95,GOVERNMENT OF INDIA 30951 GOI 15DC51 6.99 FV RS 100
726MH41,IN2220250327,STATE DEVELOPMENT LOAN 36587 MH 08OT41,100,0.0726,2,2041-10-08,98,STATE DEVELOPMENT LOAN 36587 MH 08OT41 7.26 FV RS 100
828GS2027,IN0020070069,GOVERNMENT OF INDIA 07012 GOI 21SP27,100,0.0828,2,2027-09-21,105.95,GOVERNMENT OF INDIA 07012 GOI 21SP27 8.28 FV RS 100
679GS2034A,IN0020240159,GOVERNMENT OF INDIA 35297 GOI 02DC34,100,0.0679,2,2034-12-02,95,GOVERNMENT OF INDIA 35297 GOI 02DC34 6.79 FV RS 100
